index,Home_Away_BIN,PERIOD,GAME_CLOCK,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,Player_3_PTS_ACC,AVG_DEF_STL,AVG _DEF_BLK,SHOT_CLOCK,T,Y
285,1,4,495,0,25.1,4.7,0.364,0.913043478,0.985507246,7.3,0,0
286,1,3,218,0,24.6,6.4,0.315,0.913043478,0.985507246,7.8,0,0
287,1,2,131,0,24.5,4.2,0.398,0.913043478,0.985507246,18.1,1,1
288,0,1,419,0,24.7,7.2,0.398,0.913043478,0.985507246,18.3,1,1
289,1,3,145,1,23.7,5.6,0.235,0.913043478,0.985507246,8.4,0,0
290,1,1,684,0,22.6,6.2,0.395,0.913043478,0.985507246,9,0,0
291,0,1,563,0,25.1,7.1,0.25,0.913043478,0.985507246,7.3,0,1
292,0,3,548,0,23.7,8.2,0.25,0.913043478,0.985507246,10.8,0,0
293,0,1,285,0,24.7,7.2,0.36,0.913043478,0.985507246,9.2,0,1
294,0,3,361,0,24.9,9.1,0.308,0.913043478,0.985507246,9.3,0,0
295,0,4,272,0,24.3,8.8,0.263,0.913043478,0.985507246,9.4,0,0
296,1,1,525,14,24.9,6.8,0.358,0.913043478,0.985507246,10,0,1
297,1,1,621,0,24.5,8.5,0.315,0.913043478,0.985507246,10.2,0,0
298,1,3,388,0,22.8,4.6,0.339,0.913043478,0.985507246,10.5,0,0
299,0,1,665,0,24.8,8.1,0.269,0.913043478,0.985507246,10.6,0,1
300,0,1,418,0,25.3,5.3,0.376,0.913043478,0.985507246,10.7,0,1
301,1,1,594,0,24.7,12.5,0.308,0.913043478,0.985507246,10.8,0,0
302,0,2,405,12,25.2,5.3,0.358,0.913043478,0.985507246,11,0,1
303,0,1,68,0,25.8,6.6,0.409,0.913043478,0.985507246,11.3,0,0
304,1,4,108,0,25.8,7.2,0.267,0.913043478,0.985507246,11.5,0,1
305,0,3,606,0,25,10.4,0.416,0.913043478,0.985507246,11.6,0,1
306,1,3,592,0,22.2,5.9,0.316,0.913043478,0.985507246,11.8,0,1
307,1,2,162,0,24.6,6.5,0.339,0.913043478,0.985507246,11.9,0,0
308,0,4,108,0,24.7,6.3,0.358,0.913043478,0.985507246,12,0,0
309,1,3,505,0,24.7,10.6,0.402,0.913043478,0.985507246,12,0,0
310,1,2,292,0,24,6.6,0.469,0.913043478,0.985507246,12,0,1
311,0,4,467,0,25.1,7.9,0.419,0.913043478,0.985507246,12,0,1
312,0,3,398,0,25.7,6.7,0.395,0.913043478,0.985507246,17.8,0,1
313,1,3,256,0,22.8,9.2,0.304,0.913043478,0.985507246,12.5,0,1
314,1,4,354,0,24.3,7,0.472,0.913043478,0.985507246,13,0,1
315,1,2,76,0,22.3,4.8,0.409,0.913043478,0.985507246,13.1,0,0
316,0,3,507,0,25.2,9.2,0.416,0.913043478,0.985507246,14.3,0,0
317,0,3,262,0,23.9,5.8,0.401,0.913043478,0.985507246,14.5,0,0
318,1,2,22,0,24,6.2,0.37,0.913043478,0.985507246,14.6,0,0
319,0,1,412,0,24.4,5.2,0.383,0.913043478,0.985507246,14.9,0,0
320,1,1,481,0,24.9,8.6,0.383,0.913043478,0.985507246,15,0,1
321,1,3,652,0,24.2,6.7,0.383,0.913043478,0.985507246,15.3,0,0
322,0,3,542,0,25.4,9.2,0.402,0.913043478,0.985507246,15.5,0,0
323,1,3,262,5,22.6,5.2,0.424,0.913043478,0.985507246,15.6,0,0
324,1,3,107,0,24.5,7,0.414,0.913043478,0.985507246,15.6,0,1
325,0,4,178,0,25.3,5.6,0.407,0.913043478,0.985507246,15.9,0,0
326,0,3,342,0,24.9,6.4,0.383,0.913043478,0.985507246,15.9,0,1
327,0,2,147,0,24.8,7.5,0.358,0.913043478,0.985507246,16,0,0
